Id;Name;Parameter;Address;Type
1015;(8A) Anzeigebedingungen für Konfiparameter;;K8A_KonfiAnzeigebedingungenAktiv~0x778A;3
1016;(8B) EEPROM Status;;K8B_KonfiEEPROM_Status~0x778B;3
1017;(8C) Version der Regelungssoftware - oberes Byte;;K8C_KonfiSW_StandNR_msb~0x778C;3
1018;(8D) Version der Regelungssoftware unteres Byte;;K8D_KonfiSW_StandNR_lsb~0x778D;3
1019;(8E) I2C Fehlerflag EEPROM GWG;;K8E_I2C_FehlerEEPROM_GWG~0x778E;1
1022;(90) Zeitkonstante Aussentemperatur;;K90_KonfiZeitkonstAussentemperatur~0x7790;3
1023;(91) Zuordnung externe Betriebsarten-umschaltung;;K91_KonfiZuordnungExtBA_GWG~0x7791;3
1035;(95) Konfiguration Vitocom 100;;K95_KennungDekatelM~0x7795;3
1036;Vitocom 100;;K95_KennungVitocom100~0x7795;3
1039;(97) Konfiguration  Aussentemperatur;;K97_Konfi_Aussentemperatur~0x7797;3
1043;(98) Viessmann - Anlagennummer;;K98_KonfiVI_Anlagennummer~0x7798;3
1044;Viessmann - Anlagennummer;;K98_KonfiVI_Anlagennummer_D~0x7798;1
1047;(9B) VT_Solltemperatur bei externer Anforderung;;K9B_KonfiVT_SolltemperaturExternV100_V333~0x779B;3
1049;(9C) Überwachung LON-Teilnehmer;;K9C_KonfiReceiveHeartBeat~0x779C;3
1052;(9F) Differenztemperatur VT-Erzeugung;;K9F_KonfiDTKMischerkreise~0x779F;3
1053;Fernbedienung Heizkreis M2;;KA0_FernbedienungM2~0x37A0;3
1055;Fernbedienung Heizkreis A1M1;;KA0_KennungFernbedienungA1M1~0x27A0;3
1056;(A0) Kennung Fernbedienung A1M1;;KA0_KonfiKennungFernbedienungA1M1~0x27A0;3
1057;(A0) Kennung Fernbedienung M2;;KA0_KonfiKennungFernbedienungM2~0x37A0;3
1059;(A2) Speichervorrang A1M1;;KA2_KonfiSpeichervorrangA1M1~0x27A2;3
1061;(A2) Speichervorrang M2;;KA2_KonfiSpeichervorrangM2~0x37A2;3
1067;(A3) Frostgrenze A1M1;;KA3_KonfiFrostgrenzeA1M1_GWG_4~0x27A3;3
1070;(A3) Frostgrenze M2;;KA3_KonfiFrostgrenzeM2_GWG_4~0x37A3;3
1072;(A4) Frostschutzfunktion A1M1;;KA4_KonfiKeineFrostschutzfunktionA1M1~0x27A4;3
1073;(A4) Frostschutzfunktion M2;;KA4_KonfiKeineFrostschutzfunktionM2~0x37A4;3
1075;(A5) Sommersparschaltung Schaltschwelle A1M1;;KA5_KonfSommersparSchaltschwelleA1M1~0x27A5;3
1076;(A5) Sommersparschaltung Schaltschwelle M2;;KA5_KonfSommersparSchaltschwelleM2~0x37A5;3
1078;(A6) Absolute Sommersparschaltung A1M1;;KA6_KonfiAbsolutSommersparA1M1~0x27A6;3
1079;(A6) Absolute Sommersparschaltung M2;;KA6_KonfiAbsolutSommersparM2~0x37A6;3
1081;(A7) Mischersparfunktion M1;;KA7_KonfiMischersparfunktionM1~0x27A7;3
1082;(A7) Mischersparfunktion M2;;KA7_KonfiMischersparfunktionM2~0x37A7;3
1084;(A8) Einfluss auf Interne Pumpe;;KA8_KonfiWirkung_aufPumpe~0x37A8;3
1085;(A9) Pumpenstillstand A1M1 bei Übergang in reduzierten Betrieb;;KA9_KonfiHKpumpeBeiReduziertA1M1~0x27A9;3
1087;(A9) Pumpenstillstand M2 bei Übergang in reduzierten Betrieb;;KA9_KonfiHKpumpeBeiReduziertM2~0x37A9;3
1101;(B0) Raumaufschaltung A1M1;;KB0_KonfiRaumaufschaltungA1M1~0x27B0;3
1102;(B0) Raumaufschaltung M2;;KB0_KonfiRaumaufschaltungM2~0x37B0;3
1104;(B2) Raumgerät Raumeinfluß HK1;;KB2_KonfiRaumeinflussA1M1~0x27B2;3
1105;(B2) Raumgerät Raumeinfluß HK2;;KB2_KonfiRaumeinflussM2~0x37B2;3
1107;(B5) Sommersparschaltung RS A1M1;;KB5_KonfiRaumSommerspar_GWGA1M1~0x27B5;3
1108;(B5) Sommersparschaltung RS M2;;KB5_KonfiRaumSommerspar_GWGM2~0x37B5;3
2847;(C5) Vorlauf - Minimalbegrenzung A1M1;;KC5_KonfiMinimalbegrenzungA1M1~0x27C5;3
2848;(C5) Vorlauf - Minimalbegrenzung M2;;KC5_KonfiMinimalbegrenzungM2~0x37C5;3
2850;(C6) Vorlauf - Maximalbegrenzung A1M1;;KC6_KonfiMaxbegrenzung_VT_SollwertA1M1~0x27C6;3
2851;(C6) Vorlauf - Maximalbegrenzung M2;;KC6_KonfiMaxbegrenzung_VT_SollwertM2~0x37C6;3
2869;(D3) Neigung Heizkennlinie A1;;KD3_KonfiNeigungA1~0x27D3;3
2870; Neigung Heizkennlinie A1;;KD3_KonfiNeigungA1D~0x27D3;3
2871;(D3) Neigung Heizkennlinie M2;;KD3_KonfiNeigungM2~0x37D3;3
2872; Neigung Heizkennlinie M2;;KD3_KonfiNeigungM2D~0x37D3;3
2875;(D4) Niveau Heizkennlinie A1;;KD4_KonfiNiveauA1~0x27D4;3
2876;Niveau Heizkennlinie A1;;KD4_KonfiNiveauA1D~0x27D4;3
2877;(D4) Niveau Heizkennlinie M2;;KD4_KonfiNiveauM2~0x37D4;3
2878;Niveau Heizkennlinie M2;;KD4_KonfiNiveauM2D~0x37D4;3
2880;(D5) Wirkung Betriebsarten-umschaltung A1M1;;KD5_KonfiWirkungExtBA_UmschaltungA1M1~0x27D5;3
2881;(D5) Wirkung Betriebsarten-umschaltung M2;;KD5_KonfiWirkungExtBA_UmschaltungM2~0x37D5;3
2883;(D5) Richtung externe Aufschaltung A1M1;;KD5_WirkungExtBA_UmschaltungA1M1~0x27D5;3
2886;(E1) Bereich Tagsolltemperatur Fernbedienung A1M1;;KE1_KonfiOffsetRT_SolltemperaturA1M1~0x27E1;3
2887;(E1) Bereich Tagsolltemperatur Fernbedienung M2;;KE1_KonfiOffsetRT_SolltemperaturM2~0x37E1;3
2889;(E2) Raumgerät Istwertkorrektur A1M1;;KE2_KonfiRT_KorrekturFernbedienungA1M1~0x27E2;3
2890;(E2) Raumgerät Istwertkorrektur M2;;KE2_KonfiRT_KorrekturFernbedienungM2~0x37E2;3
2892;(E5) Kennung Pumpe Heizkreis A1;;KE5_KonfiKennung_D_PumpeA1_GWG~0x27E5;3
2894;KM-BUS-Heizkreispumpe A1;;KE5_KonfiKennung_D_PumpeA1M1_KM~0x27E5;3
2896;(E5) Kennung Pumpe Heizkreis M2;;KE5_KonfiKennung_D_PumpeM2_GWG~0x37E5;3
2897;KM-BUS-Heizkreispumpe M2;;KE5_KonfiKennung_D_PumpeM2KM~0x37E5;3
2903;(E6) Maximale Drehzahl geregelte Pumpe A1M1;;KE6_KonfiMaxDrehzahlA1M1_GWG~0x27E6;3
2904;(E6) Maximale Drehzahl geregelte Pumpe M2;;KE6_KonfiMaxDrehzahlM2_GWG~0x37E6;3
2908;(E7) Minimale Drehzahl geregelte Pumpe A1M1;;KE7_KonfiMinDrehzahlA1M1_GWG~0x27E7;3
2909;(E7) Minimale Drehzahl geregelte Pumpe M2;;KE7_KonfiMinDrehzahlM2_GWG~0x37E7;3
2913;(E8) Solldrehzahl Pumpe im Nebenbetrieb A1M1;;KE8_KonfiNebenbetriebA1M1_GWG~0x27E8;3
2914;(E8) Solldrehzahl Pumpe im Nebenbetrieb M2;;KE8_KonfiNebenbetriebM2_GWG~0x37E8;3
2918;(E9) Reduzierte Drehzahl geregelte Pumpe A1M1;;KE9_KonfiDrehzahlReduziertA1M1_GWG~0x27E9;3
2919;(E9) Reduzierte Drehzahl geregelte Pumpe M2;;KE9_KonfiDrehzahlReduziertM2_GWG~0x37E9;3
2954;Kesselsolltemperatur;;Kesselsoll_eff~0x555A;1
2957;(F1) Estrichfunktion A1M1;;KF1_KonfiTemperaturprogrammM1~0x27F1;3
2958;(F1) Estrichfunktion M2;;KF1_KonfiTemperaturprogrammM2~0x37F1;3
2962;(F2) Zeitbegrenzung Party/ Betriebsarten-Umschaltung A1;;KF2_KonfiPartyzeitGWGA1~0x27F2;3
2963;(F2) Zeitbegrenzung Party/ Betriebsarten-Umschaltung M2;;KF2_KonfiPartyzeitGWGM2~0x37F2;3
